name,calories,protein,carbs,fat,fiber
Arokya Full Cream Milk (100ml),64.0,3.3,4.7,3.6,0.0
Arokya Toned Milk (100ml),58.0,3.2,4.7,3.1,0.0
Yogabar Wholegrain Oatmeal (100g),398.0,13.6,62.0,8.0,10.5
Yogabar Muesli (100g),412.0,9.2,69.4,9.6,7.5
iD Fresh Idli Dosa Batter (100g),125.0,3.4,26.0,0.5,1.2
Apple (100g),52.0,0.3,14.0,0.2,2.4
Banana (100g),89.0,1.1,23.0,0.3,2.6
Mango (100g),60.0,0.8,15.0,0.4,1.6
Papaya (100g),43.0,0.5,11.0,0.3,1.7
Guava (100g),68.0,2.6,14.0,1.0,5.4
Pomegranate (100g),83.0,1.7,19.0,1.2,4.0
Orange (100g),47.0,0.9,12.0,0.1,2.4
Watermelon (100g),30.0,0.6,8.0,0.2,0.4
Grapes (100g),69.0,0.7,18.0,0.2,0.9
Tomato (100g),18.0,0.9,3.9,0.2,1.2
Onion (100g),40.0,1.1,9.3,0.1,1.7
Potato (Boiled - 100g),87.0,1.9,20.0,0.1,1.8
Hot tea (Garam Chai),16.14,0.39,2.58,0.53,0.0
Instant coffee,23.16,0.64,3.65,0.75,0.0
Espreso coffee,51.54,1.75,6.62,2.14,0.0
Iced tea,10.34,0.03,2.7,0.01,0.0
Raw mango drink (Aam panna),35.92,0.16,9.05,0.03,0.61
Fruit Punch (with fresh juices),36.12,0.14,9.38,0.03,0.06
Fruit Punch (with squashes),23.13,0.07,5.99,0.02,0.17
Lemonade,20.8,0.03,5.48,0.01,0.02
Lem-o-gin,21.52,0.08,5.55,0.03,0.13
Cumin infused water (Jeere/Zeere ka pani),9.09,0.17,1.86,0.11,0.46
Coco pine cooler,32.75,0.56,5.72,1.0,0.26
Summer cooler,22.43,0.37,5.43,0.04,0.2
Hot cocoa,90.1,3.36,9.23,4.56,0.0
Cold coffee with ice cream,67.85,1.57,11.24,2.11,0.01
Banana milkshake (Kele milkshake),65.31,1.84,9.15,2.37,0.26
Mango milkshake (Aam milkshake),56.9,1.73,7.23,2.35,0.26
Pineapple milkshake (Ananas milkshake),55.72,1.66,7.62,2.23,0.0
Orange milkshake (Narangi milkshake),57.42,1.86,7.11,2.52,0.0
Egg nog,97.14,4.78,8.15,5.11,0.02
Sweet Lassi (Meethi lassi),35.66,1.29,6.51,0.68,0.0
Lassi (salted),18.84,1.35,1.86,0.72,0.02
Cheese and chilli sandwich ,218.11,6.8,27.4,9.78,2.08
Egg sandwich (Ande ka sandwich),285.96,8.69,29.16,15.8,1.88
Cucumber sandwich (Kheere ka sandwich),188.6,4.8,25.77,8.0,2.45
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.71,8.2,29.1,12.8,2.33
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.32,7.92,26.92,12.27,1.97
Chicken sandwich,253.27,13.12,25.38,11.75,1.64
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.43,9.53,28.54,16.14,4.03
Rainbow sandwich,272.75,7.75,34.26,12.54,2.1
Club sandwich ,235.32,7.31,18.51,15.12,1.81
Vegetarian club sandwich,198.33,5.45,19.68,11.33,2.06
Pin wheel sandwich,311.52,8.77,14.0,24.93,0.93
Carrot apple sandwich (Gajar aur seb ka sandwich),214.11,5.3,29.04,9.12,3.66
Salami sandwich,255.59,8.7,21.54,15.51,1.97
Vegetable and mayonnaise sandwich,244.26,4.47,23.2,15.4,2.35
Egg and tomato sandwich (Ande aur tamatar ka sandwich),222.11,7.66,25.9,10.51,1.77
Sweet open sandwich,244.25,4.99,39.24,8.15,2.36
Mushroom and cheese sandwich (toasted),227.42,7.79,21.01,13.01,2.28
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),224.58,6.82,21.42,12.95,1.78
Pea potato sandwich (toasted) (Matar aloo ka sandwich),164.9,4.6,25.17,5.43,2.89
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),249.56,12.4,24.05,11.98,2.12
Chicken sandwich (toasted),167.37,12.08,18.82,5.32,1.64
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),171.78,11.06,20.26,5.61,2.45
Classic club sandwich,200.83,6.74,18.49,11.56,1.62
Sesame toast,495.19,1.9,11.15,49.38,1.32
Cracked wheat porridge (Meetha daliya),81.57,2.64,8.87,4.08,0.62
Semolina porridge (Suji/Rava daliya),100.89,3.75,12.39,4.08,0.7
Oatmeal Porridge,72.85,2.6,8.77,3.22,0.39
Cornflakes with milk,117.33,3.59,14.95,5.12,0.78
Rice flakes (Chiwda/Aval),112.44,3.62,15.57,3.99,0.37
Wheat flakes,112.44,3.62,15.57,3.99,0.37
Murmura (Puffed rice),113.32,3.62,15.67,4.04,0.28
Puffed wheat (Murmure/Moori),113.32,3.62,15.67,4.04,0.28
Boiled egg (Ubla anda),45.35,4.43,0.12,3.04,0.11
Fried Egg ,223.67,11.59,0.31,19.62,0.29
Poached egg,123.87,11.98,0.37,8.19,0.3
Scrambled egg (Ande ki bhurji),155.97,10.29,1.35,12.21,0.24
Baked egg ,218.85,11.88,15.42,12.65,1.03
Plain omelette/omlet,272.41,9.66,0.64,25.74,0.12
Stuffed egg omelette/omlet,203.51,8.6,2.3,17.77,0.75
Pancake,203.36,5.68,20.49,10.82,0.65
Keema pancake,176.27,9.01,9.56,11.25,0.84
Vegetable pancake,125.18,3.87,12.24,6.57,2.48
Jam and fruit pancake,162.02,3.79,20.73,7.01,1.21
Khoa and coconut pancake,271.98,6.98,27.32,15.29,1.65
Brown stock,21.32,1.95,0.25,1.38,0.09
Vegetable stock,17.6,0.3,0.96,1.38,0.38
Chicken stock,29.88,3.69,0.37,1.51,0.1
Clear tomato soup (Tamatar ka soup),80.07,4.79,3.45,12.22,1.96
Lentil soup,31.17,9.65,3.94,11.68,2.57
Chicken consomme (Clear chicken soup),47.94,11.47,1.19,12.02,1.57
Cream of tomato soup,97.81,4.61,3.93,13.12,1.38
Cream of green peas soup,127.84,7.13,6.75,14.78,2.95
Cream of spinach soup,100.54,5.21,3.45,13.31,1.74
Cream of mixed vegetable soup,59.65,6.84,4.93,9.05,2.14
Cream of mushroom soup,117.28,6.64,3.74,15.5,1.34
Chicken sweet corn soup,28.32,14.48,1.63,12.59,0.47
Minestrone soup,42.66,9.3,3.71,11.09,1.92
Egg drop soup,26.64,12.93,1.1,13.52,0.81
Chinese cabbage and meat ball soup,484.31,5.21,1.43,56.57,0.57
French onion soup,55.61,11.41,4.28,14.39,1.01
Hot and sour soup,31.51,3.12,1.78,1.31,0.6
Talaumein soup,35.63,10.12,4.17,12.78,1.94
