Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g)
Chapati/Roti,202.31,35.65,5.88,3.56,1.0,6.31
Boiled rice (Uble chawal),117.19,25.72,2.6,0.18,0.22,1.25
Tomato Curry,120.0,10.0,2.5,8.0,0.0,3.0
Clear tomato soup (Tamatar ka soup),80.07,3.45,4.79,12.22,1.44,1.96
Dal makhani,74.04,7.96,3.32,3.06,0.8,2.27
Split bengal gram dal (Channa dal),99.67,9.99,4.15,4.62,0.98,3.72
Potato curry (Aloo ki sabzi),89.56,10.42,1.52,4.47,1.58,2.42
Egg curry (Anda curry),117.52,4.03,5.38,8.81,1.9,2.09
Chicken curry,129.22,3.38,11.79,7.57,1.79,1.41
Fish curry (Machli curry),111.13,3.77,8.76,6.69,2.02,1.89
Mutton korma,115.64,2.53,7.09,8.54,1.64,0.78
Spinach paneer (Palak paneer),77.68,4.43,4.03,4.76,2.55,1.91
Pea paneer curry (Matar paneer),134.83,9.29,6.61,7.75,3.89,3.3
Dum aloo,682.33,3.33,0.7,74.01,0.71,0.68
Bhindi Masala,110.0,12.0,2.0,7.0,0.0,4.5
Aloo Gobi,130.0,16.0,3.5,6.0,0.0,4.0
Rajma,260.0,35.0,12.0,8.0,0.0,10.0
Chana Masala,280.0,40.0,12.0,8.0,0.0,11.0
Mutton Biryani,520.0,55.0,22.0,20.0,0.0,3.0
Pani Puri,210.0,32.0,4.0,8.0,0.0,2.5
Chole Bhature,427.0,55.0,11.0,18.0,0.0,8.0
Aloo Paratha,260.0,38.0,6.0,10.0,0.0,3.0
Chicken Tikka Masala,400.0,12.0,28.0,26.0,0.0,2.0
Upma,190.0,30.0,4.0,6.0,0.0,2.5
Pesarattu,140.0,20.0,5.0,4.0,0.0,3.0
Puri,140.0,18.0,3.0,6.0,0.0,1.0
