food_code,food_name,primarysource,energy_kj,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitd3_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g
ASC001,Hot tea (Garam Chai),asc_manual,68.16,16.14,2.58,0.39,0.53,2.58,0.00,321.50,144.18,16.39,0.00,14.20,11.50,1.04,3.12,13.95,0.02,0.01,0.11,0.00,0.00,0.00,0.04,0.00,0.03,0.00,0.00,0.00,0.00,0.86,0.00,0.01,0.01,0.04,0.00,0.24,0.86,0.24,23.75,tea cup,143.48,33.98,5.43,0.82,1.12,5.42,0.00
ASC002,Instant coffee,asc_manual,97.77,23.16,3.65,0.64,0.75,3.62,0.00,451.17,202.33,23.00,0.00,20.87,18.19,3.63,4.92,44.50,0.06,0.01,0.22,0.00,0.02,0.00,0.06,0.00,0.04,0.00,0.00,0.03,0.00,1.25,0.01,0.02,0.18,0.06,0.01,0.78,1.25,0.34,33.33,tea cup,439.95,104.20,16.44,2.88,3.36,16.27,0.00
ASC003,Espreso coffee,asc_manual,217.00,51.54,6.62,1.75,2.14,6.53,0.00,1291.67,580.16,66.21,0.00,58.10,50.25,8.57,13.98,103.86,0.15,0.04,0.56,0.00,0.03,0.00,0.19,0.00,0.11,0.00,0.00,0.05,0.00,3.49,0.01,0.05,0.35,0.16,0.02,1.81,3.49,0.95,94.64,tea cup,343.94,81.70,10.49,2.77,3.39,10.36,0.00
ASC004,Iced tea,asc_manual,44.09,10.34,2.70,0.03,0.01,2.70,0.00,5.47,0.00,5.47,0.00,1.18,0.58,0.39,0.23,5.22,0.02,0.00,0.05,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.00,0.01,0.01,0.00,0.01,0.40,1.86,0.22,tall glass,141.09,33.10,8.64,0.09,0.04,8.64,0.00
ASC005,Raw mango drink (Aam panna),asc_manual,152.39,35.92,9.05,0.16,0.03,7.49,0.61,6.14,5.89,9.43,0.00,7.08,3.34,4.25,79.82,31.45,0.14,0.03,0.05,0.00,0.05,0.01,0.03,0.00,0.17,1.46,0.00,3.44,0.00,5.23,0.00,0.00,0.05,0.03,0.03,0.27,5.23,16.87,167.19,tall glass,409.18,96.44,24.29,0.42,0.07,20.11,1.64
ASC096,Chapati/Roti,asc_manual,844.75,202.31,35.65,5.88,3.56,1.00,6.31,1737.22,796.67,538.89,6.83,17.22,175.00,69.44,1.16,172.78,2.28,0.27,29.51,0.00,1.66,0.02,1.58,25.61,0.30,7.46,0.00,0.83,0.00,16.23,0.23,0.08,1.32,0.48,0.14,0.42,16.23,0.00,209.53,chapati,304.11,72.83,12.83,2.12,1.28,0.36,2.27
ASC113,Boiled rice (Uble chawal),asc_manual,490.33,117.19,25.72,2.60,0.18,0.22,1.25,50.00,28.89,72.00,0.00,2.70,46.67,8.91,1.05,47.33,0.24,0.09,0.40,0.00,0.26,0.02,0.36,0.00,0.03,0.00,0.00,0.50,0.00,3.25,0.06,0.02,0.84,0.18,0.07,0.10,3.25,0.00,15.63,plate,1471.00,351.57,77.16,7.81,0.55,0.67,3.74
ASC240,Chicken curry,asc_manual,538.96,129.22,3.38,11.79,7.57,1.79,1.41,821.08,1119.97,2005.92,31.25,27.29,107.81,21.89,108.00,253.49,0.87,0.19,9.56,0.00,0.42,0.05,0.56,4.07,1.56,2.90,0.70,8.57,14.02,15.61,0.07,0.05,4.28,0.71,0.32,2.95,15.61,6.77,1284.19,bowl,1336.22,320.38,8.38,29.24,18.77,4.44,3.49
ASC079,Clear tomato soup (Tamatar ka soup),asc_manual,330.90,80.07,3.45,4.79,12.22,1.44,1.96,851.47,1414.00,4382.48,0.00,29.05,50.31,22.39,5135.74,232.95,1.14,0.05,0.21,0.00,0.23,0.01,0.23,0.00,3.47,6.14,0.00,14.32,0.00,11.04,0.03,0.01,0.32,0.12,0.05,0.77,11.04,13.37,3417.47,soup bowl,1315.84,318.41,13.72,19.06,48.61,5.71,7.81
BFP239,Potato curry (Aloo ki sabzi),bfp_manual,372.12,89.56,10.42,1.52,4.47,1.58,2.42,548.66,961.12,2684.73,0.00,23.74,38.19,25.30,78.40,383.45,0.97,0.10,0.51,0.00,0.28,0.05,0.31,0.00,2.08,3.37,0.00,12.09,0.00,17.65,0.05,0.02,0.76,0.31,0.10,1.43,17.65,20.92,1767.43,bowl,750.08,180.52,21.00,3.06,9.01,3.19,4.88
BFP601,Tomato chutney (Tamatar ki chutney),bfp_manual,745.43,176.07,31.85,0.97,6.01,30.02,1.49,691.45,3277.52,1318.43,0.00,25.34,21.47,17.52,823.65,157.35,0.96,0.10,0.02,0.00,0.24,0.00,0.23,0.00,0.13,6.56,0.00,14.96,0.00,10.87,0.03,0.03,0.47,0.14,0.08,0.77,10.87,14.29,3381.10,tablespoon,144.77,34.33,7.23,0.81,0.27,5.69,1.79
